[2025-07-06 16:15:07,510][asyncio][DEBUG] - Using selector: EpollSelector
[2025-07-06 16:15:30,015][urllib3.connectionpool][DEBUG] - https://storage.googleapis.com:443 "GET /wandb-production.appspot.com/alesr_kth/PEG/sf1yq1z3/artifact/1861125035/wandb_manifest.json?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=gorilla-files-url-signer-man%40wandb-production.iam.gserviceaccount.com%2F20250706%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250706T141529Z&X-Goog-Expires=3599&X-Goog-Signature=277a3657e46f96ebb9e721ffd5ff852a18fa810c830d5ba8529179c35319ba36f05274f9aa5497b9afcd08bb12ecbc705910272739ba077a0c1a56001badb941c8a8590fe1da770dab81718b779e5214d9e4e2a43db148d2f4353cfd5e9518c1b2a4010ac21c9a2369e028522b4d3438d2b8f80fe5fc93f760c9a2629a4d3586062d8fae6a08c847f0b5a952cfc81861c64e23a1a341f4fe75f50c202468c26e41b31d6f3236f82a5511d09d1ff33a831bfdd36e6e9b194709d9ae5598eb0c9ea7a217cfe6851999d24f1bd9588167d8a16c2d276c97b690d63d264d2fde917ea2abbc5cf479135caad7b8ca4698a87878c8356cee09d284954c41a5caca4e89&X-Goog-SignedHeaders=host&X-User=alesr HTTP/11" 200 342
[2025-07-06 16:15:30,061][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:15:30,244][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:15:30,247][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:15:30,421][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:15:30,425][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:15:30,633][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:15:30,636][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:15:30,831][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:15:30,837][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): storage.googleapis.com:443
[2025-07-06 16:15:31,032][urllib3.connectionpool][DEBUG] - https://storage.googleapis.com:443 "GET /wandb-production.appspot.com/alesr_kth/PEG/xlb44amc/artifact/1860741873/wandb_manifest.json?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=gorilla-files-url-signer-man%40wandb-production.iam.gserviceaccount.com%2F20250706%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250706T141530Z&X-Goog-Expires=3599&X-Goog-Signature=805b1e52ff92d507f32266cdbb22bc9093e1b4b9410e776c51ef9aa1f73a55f03dba571be8bc49e4b746fffc2abb1908a3055b3f762c41f942b615cf6234ec2ed83f44ea2f75d7183101b027c1b7a1eb58e2f3b2584f4d079ed82f32511bfbbd94f23464074cdfcc42f7416c061af988a7358ddb69bc7b927414eadaa82355e1853fe729488c418464b71fb0174029111e78f81c903c3235f8b4dc4db5d285429ce6f2112c941dbb68fc33ed09b332e4539988e457168ee1db1e47a15305c19d2a27f20ea59dbc18fa216fa602dad0abefa3227b9cc532e189334f5cb345117df25a359b874bfe8ba11047b4f5c00cf0307f5319f5e75fc3badd29365ff06fc8&X-Goog-SignedHeaders=host&X-User=alesr HTTP/11" 200 342
[2025-07-06 16:15:31,076][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:15:31,268][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:15:31,272][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:15:31,434][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:15:31,439][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:15:31,674][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:15:31,678][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:15:31,862][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:15:31,865][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): storage.googleapis.com:443
[2025-07-06 16:15:32,062][urllib3.connectionpool][DEBUG] - https://storage.googleapis.com:443 "GET /wandb-production.appspot.com/alesr_kth/PEG/xlb44amc/artifact/1860741873/wandb_manifest.json?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=gorilla-files-url-signer-man%40wandb-production.iam.gserviceaccount.com%2F20250706%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250706T141531Z&X-Goog-Expires=3599&X-Goog-Signature=80f38e3066db3aa547077a2fe5b2cfe889924da77b94f6af480e2074ea5748d41c1d01dc1d26e5a85a25e739072f30ed17b43070add1efe77772bf88254bddf8817eced286473291c3c20240d6c2d297b1c67bbc78dd71c1490b8641419b24b8e905d8b4841347a8142469ae5bfa872f7ab23e68885d8ad6c797501372874d9e326bee81a943b116b868eefae42335d76c39f41cef03be8d2946fe9f7fe112c8c3ed03e57beb92efe4459e6d4f5b188c4c003ce459353eca3e12b2e163fadc847fd3c921baac8b032ea1111be948addd2b752dc4c87aa666523abc1be5b012e3dd2f40e1b5750052aede721ca26100c68288c64426be44b6392826cb86de01c9&X-Goog-SignedHeaders=host&X-User=alesr HTTP/11" 200 342
[2025-07-06 16:15:32,106][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:15:32,286][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:15:32,289][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:15:32,456][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:15:32,464][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:15:32,670][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:15:32,675][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:15:32,871][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:15:32,875][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): storage.googleapis.com:443
[2025-07-06 16:15:33,075][urllib3.connectionpool][DEBUG] - https://storage.googleapis.com:443 "GET /wandb-production.appspot.com/alesr_kth/PEG/36wyoe4n/artifact/1861017134/wandb_manifest.json?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=gorilla-files-url-signer-man%40wandb-production.iam.gserviceaccount.com%2F20250706%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250706T141532Z&X-Goog-Expires=3599&X-Goog-Signature=2c2ed9d5551ff70206869f6e823b4c6d86069d4d04ae7ba2d6eb4cb96ea365fdb387dbb2c832ea174c4e2647304271f8768f36aba2b39b003ec8b749c1dffa46434947d373bf898b479dbd602bada04ce4cab03f0136ce6216f0aad721af22c544075bce216598421f751610adaf1b68f22de2e10ddfbbd2c28b53023247bbda6cb1744ec753c80fbcb3d2f7c787959f05d249df3439915f353d4cf8b51a06e8e3caf0087fca085040a71b81538b1373aeabce364d6e17d32e85bbefe28df39499610c4b1825f6c5be72513121f750b389a39f10779b0a6197d862c6acbd1be8e9de302fff5919feaf4d8034b270a54babd954b05024e5ae70bbface4a230893&X-Goog-SignedHeaders=host&X-User=alesr HTTP/11" 200 346
[2025-07-06 16:15:34,458][root][INFO] - Eval at 8192 steps.
[2025-07-06 16:15:59,595][root][INFO] - Saved checkpoint to /home/alesr/Repositories/Omnidrones-PEG/wandb/run-20250706_161516-mku8yude/files/checkpoint_8192.pt
[2025-07-06 16:15:59,617][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:15:59,817][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:17:07,147][root][INFO] - Eval at 417792 steps.
[2025-07-06 16:17:31,283][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:17:31,467][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:18:35,786][root][INFO] - Eval at 827392 steps.
[2025-07-06 16:20:01,672][root][INFO] - Eval at 1236992 steps.
[2025-07-06 16:21:27,034][root][INFO] - Eval at 1646592 steps.
[2025-07-06 16:21:49,476][root][INFO] - Saved checkpoint to /home/alesr/Repositories/Omnidrones-PEG/wandb/run-20250706_161516-mku8yude/files/checkpoint_1646592.pt
[2025-07-06 16:21:49,499][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:21:49,675][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:22:51,738][root][INFO] - Eval at 2056192 steps.
[2025-07-06 16:23:14,875][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:23:15,067][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:24:17,196][root][INFO] - Eval at 2465792 steps.
[2025-07-06 16:25:43,974][root][INFO] - Eval at 2875392 steps.
[2025-07-06 16:27:10,117][root][INFO] - Eval at 3284992 steps.
[2025-07-06 16:27:33,524][root][INFO] - Saved checkpoint to /home/alesr/Repositories/Omnidrones-PEG/wandb/run-20250706_161516-mku8yude/files/checkpoint_3284992.pt
[2025-07-06 16:27:33,548][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:27:33,725][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:28:36,109][root][INFO] - Eval at 3694592 steps.
[2025-07-06 16:30:01,519][root][INFO] - Eval at 4104192 steps.
[2025-07-06 16:31:29,319][root][INFO] - Eval at 4513792 steps.
[2025-07-06 16:31:52,403][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:31:52,614][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:32:54,660][root][INFO] - Eval at 4923392 steps.
[2025-07-06 16:33:18,962][root][INFO] - Saved checkpoint to /home/alesr/Repositories/Omnidrones-PEG/wandb/run-20250706_161516-mku8yude/files/checkpoint_4923392.pt
[2025-07-06 16:33:18,984][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:33:19,192][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:34:24,270][root][INFO] - Eval at 5332992 steps.
[2025-07-06 16:34:48,008][root][INFO] - Early stopping: evader_caught ≥ 0.98 3× in a row.
[2025-07-06 16:34:48,015][root][INFO] - Final Eval at 5332992 steps.
[2025-07-06 16:35:11,573][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): api.wandb.ai:443
[2025-07-06 16:35:11,777][urllib3.connectionpool][DEBUG] - https://api.wandb.ai:443 "POST /graphql HTTP/11" 200 None
[2025-07-06 16:35:11,783][root][INFO] - Saved checkpoint to /home/alesr/Repositories/Omnidrones-PEG/wandb/run-20250706_161516-mku8yude/files/checkpoint_final.pt
